"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","FlowerX","FlowerY","FlowerZ","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops"
"1","1","Test","Y","NA","NA",532.2709514,-247.5414167,3172.049783,12.7151700284739,0.0236105044230738,0.0773824937360699,857.181369766548,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",544.0041221,-251.8754873,3169.764157,25.4257147604475,-1.06804643724414,-0.365923612472833,868.428203430804,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",551.7678756,-251.4154609,3145.557144,12.5090449546621,-0.796102506582629,-0.0779459026155573,887.681029902259,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",545.9547398,-250.2159401,3134.546022,28.0174578263492,-1.74395267911428,0.116673758976783,889.840525080252,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",523.8069977,-250.7940088,3151.695987,45.8846871643663,-0.164253842529509,0.297403968570361,865.025148215156,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",494.1739821,-265.1423084,3183.655574,35.7635487978442,1.45758339835186,0.167747134079765,833.236310098918,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",468.7020749,-281.8404058,3164.910257,114.259800419114,-1.6193963977976,-0.194475074174011,836.427110253112,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",408.1904646,-314.6566455,3256.106427,119.3846034958,-0.171515134321645,0.129675779413086,764.837059690204,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",364.3269682,-363.4443938,3355.848258,102.811660539858,-0.0497787747522465,0.0521573740380433,721.217189067048,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",331.6998053,-410.2942616,3441.351449,127.000284747991,0.0250849296365809,0.129002588968811,704.632398558234,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",291.944592,-482.228757,3538.170991,133.66356761538,0.0201827029839776,0.127446977404687,718.558046377111,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",252.245546,-571.3243519,3629.559776,175.093040801763,-0.0065602147025472,-0.0698042149407259,769.969901151613,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",197.9585627,-678.6475806,3756.808434,113.172996860826,0.263521834113983,0.185204599742833,855.49192125706,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",194.3958545,-647.0263936,5341.836417,24.6764108279967,-3.13869741726773,-0.0793253907193973,1860.29591886409,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",193.4405033,-647.1717788,5317.178935,77.4834281221915,-3.13909360911012,-0.111419931861319,1838.13107255377,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",196.2312287,-639.0102575,5394.180773,0,-1.53456986056465,0.105528230587496,1904.37841855204,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"Y"
"1","1","Test","Y","NA","NA",196.2312287,-639.0102575,5394.180773,78.2818294560942,-1.43399920715694,-0.118040508195114,1904.37841855204,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",206.8323026,-629.7912743,5317.169914,45.0378043046805,-0.175081845386444,-0.0309931203333961,1832.6041906586,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",205.1275725,-623.1039466,5272.663989,27.3674204883163,-1.89159112735776,-0.544517692707752,1789.66856184066,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",185.4247935,-605.6087181,5280.059473,64.9578047167422,1.42448394126149,0.0820029043606643,1786.27203138473,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",159.6753264,-568.3141085,5233.523536,61.1258675960236,-0.521327944307781,0.0584057628174091,1725.67083084937,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",115.1747289,-536.2007884,5206.601367,203.636374466482,0.722401608995255,0.302166002816373,1683.39054313045,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",56.0682311,-485.6276682,5018.408502,77.6060012256119,-2.31918547821484,0.0715428220194335,1486.70603496427,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
