ID,Expt,LeftLMx,LeftLMy,LeftLMz,RightLMx,RightLMy,RightLMz,Flowerx,Flowery,Flowerz,Inx,Iny,Inz,Outx,Outy,Outz,Testx,Testy,Testz
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.1695832,-153.6058693,3879.151383,-269.2860792,-536.6052068,4316.553402,34.7448172,-319.2580259,1508.199327
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.03800895,-141.7036214,3918.999601,-348.9934326,-667.5654863,4406.260831,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.37919287,-145.5030438,3959.772212,-416.2148485,-772.4743437,4472.223234,194.3958545,-647.0263936,5341.836417
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.37919287,-145.5030438,3959.772212,-515.7256653,-898.008993,4589.417541,193.4405033,-647.1717788,5317.178935
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.37919287,-145.5030438,3959.772212,-609.0138223,-1002.776837,4748.221795,196.2312287,-639.0102575,5394.180773
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.37919287,-145.5030438,3959.772212,-674.6894008,-1028.912635,4894.378139,196.2312287,-639.0102575,5394.180773
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.58924663,-143.3820745,4004.160794,-676.2219939,-1000.872709,4904.430398,206.8323026,-629.7912743,5317.169914
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.47348657,-142.991681,3991.436298,-676.2219939,-1000.872709,4904.430398,205.1275725,-623.1039466,5272.663989
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.47348657,-142.991681,3991.436298,-676.2219939,-1000.872709,4904.430398,185.4247935,-605.6087181,5280.059473
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.64604863,-90.70435793,3962.664667,NA,NA,NA,159.6753264,-568.3141085,5233.523536
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.41957529,-51.06438942,3950.30141,NA,NA,NA,115.1747289,-536.2007884,5206.601367
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.34402762,-12.34329026,3957.348509,NA,NA,NA,56.0682311,-485.6276682,5018.408502
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.59389207,-6.64823604,3940.020221,NA,NA,NA,18.25315907,-471.7771295,5084.747588
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.6794395,-4.082155505,3952.801114,NA,NA,NA,-15.83146655,-470.3187978,5072.656818
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.00508996,-4.102001715,3948.659663,NA,NA,NA,-41.55017736,-464.9258284,5093.164334
