"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","flowerx","flowery","flowerz","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops","stops"
1,1,"Test","Y",NA,NA,-81.32435117,320.6772175,4792.026035,36.8036668720332,1.71081058380413,2.3912924585115,1210.00613012372,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-104.1425826,318.8732864,4820.84589,3.42373216252303,-1.50378300450801,-0.389092817169521,1236.87655569819,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-104.1070978,315.8862803,4822.518755,0,-1.55891716429692,-0.510494324507836,1237.3346839109,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,-104.1070978,315.8862803,4822.518755,21.3742835588087,2.31244142568023,-0.219452606220955,1237.3346839109,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-118.1991871,300.5037631,4817.865672,38.1025768813911,-0.978660245580334,-1.02902437205664,1228.16999247993,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-115.3652056,288.7715413,4781.725253,5.68854894027951,0.226030274481852,1.75837361840186,1190.12291943516,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-115.3106675,283.806904,4784.50176,0,-1.55981145458175,-0.509896640124269,1190.94975351148,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,-115.3106675,283.806904,4784.50176,0,0,0,1190.94975351148,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,-115.3106675,283.806904,4784.50176,0,0,0,1190.94975351148,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,-115.3106675,283.806904,4784.50176,43.4092025688731,1.44202394935696,-1.35729433198901,1190.94975351148,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-114.1295283,274.685357,4742.078168,22.3818079173889,0.10812442126547,0.807453810195014,1148.05797992251,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-113.7355333,255.6065192,4730.382526,34.000003972562,0.49428516972258,0.919823230421929,1130.39030633101,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-128.1944326,227.3967909,4742.676904,83.2539145303119,-0.89925781429317,-1.46399644165402,1133.46425384334,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-112.4192385,192.5983958,4668.707794,23.8308346372691,0.177337900211217,0.945435135055422,1051.41707578964,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-106.6275773,169.7528186,4665.180055,38.115898472775,-0.434067819262337,-0.572093534728519,1040.79696801466,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-88.56737374,147.5264183,4640.027761,63.5470960457953,-0.273404179291194,-0.36676144190742,1009.48770610308,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-64.44541111,130.4854611,4583.760807,52.6354127583332,-0.483039676863867,-0.0550479794742005,950.044177682688,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
